day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Monday,Morning,adipura,panakkukang,TL,R2,NOV,-5.1299635,119.4382732
Wednesday,Afternoon,perintis kemerdekaan,biringkanaya,TL,R4,R4,-5.0757471,119.5229217
Tuesday,Morning,sam ratulangi,mariso,TL,R4,R2,-5.1610298,119.4173875
Thursday,Morning,insinyur sutami,biringkanaya,OC,R2,NOV,-5.0682302,119.5245258
Wednesday,Evening,pettarani,panakkukang,TL,R4,R2,-5.1366409,119.4400406
Friday,Evening,haji bau,mariso,TL,R4,R4,-5.148609,119.4111046
Friday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Friday,Morning,pajaiang,biringkanaya,TK,R2,R2,-5.1048027,119.5252166
Saturday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Thursday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Friday,Evening,kima raya,biringkanaya,OC,R2,NOV,-5.1010247,119.5040689
Sunday,Morning,perintis kemerdekaan,tamalanrea,TM,R2,NOV,-5.1268846,119.5022473
Friday,Night,cendrawasih,mamajang,OC,R2,NOV,-5.167086,119.4118044
Friday,Night,veteran utara,makassar,TL,R2,NOV,-5.1457033,119.4248691
Saturday,Morning,tamangapa raya,manggala,TM,R2,NOV,-5.1878951,119.4918248
Saturday,Morning,monginsidi,ujung pandang,OC,R2,NOV,-5.1479402,119.4186723
Friday,Night,aroepala,rappocini,OC,R2,NOV,-5.1722183,119.4529
Monday,Morning,manggis,ujung pandang,OC,R4,NOV,-5.1478124,119.4130717
Tuesday,Evening,batara bira,biringkanaya,TK,R4,R2,-5.0884975,119.5063692
Wednesday,Afternoon,bakung,biringkanaya,TL,R2,R2,-5.0863643,119.5291411
Thursday,Afternoon,paccerakkang,biringkanaya,TL,R4,R2,-5.1239434,119.5224673
Tuesday,Night,villa mutiara,biringkanaya,OC,R2,NOV,-5.0773288,119.4901743
Wednesday,Afternoon,bonto duri,tamalate,TM,R4,NOV,-5.1752238,119.4269422
Wednesday,Afternoon,pettarani,rappocini,T,R2,NOV,-5.1521953,119.4374749
Wednesday,Evening,nipa nipa,manggala,TM,R2,NOV,-5.1624042,119.5001015
Wednesday,Evening,urip sumuharjo,panakkukang,TK,R4,R4,-5.1348243,119.4316818
Wednesday,Afternoon,pettarani,panakkukang,OC,R2,NOV,-5.1366409,119.4400406
Thursday,Night,malengkeri,tamalate,TL,R4,R2,-5.1875239,119.4339559
Thursday,Morning,veteran utara,makassar,T,R2,NOV,-5.1457033,119.4248691
Saturday,Afternoon,sam ratulangi,mariso,TL,R2,R2,-5.1610298,119.4173875
Thursday,Morning,ance daeng ngoyo,panakkukang,TK,R2,R4,-5.1532628,119.443011
Wednesday,Evening,dangko,tamalate,OC,R2,NOV,-5.1820983,119.4150245
Sunday,Morning,cilallang,rappocini,OC,R2,NOV,-5.1580773,119.430582
Friday,Evening,monginsidi,makassar,TL,R2,R4,-5.1486573,119.4231372
Saturday,Evening,pettarani,rappocini,TL,R2,R2,-5.1521953,119.4374749
Saturday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Thursday,Morning,telegraph utama,biringkanaya,TK,R2,R4,-5.13054,119.5149116
Friday,Night,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.0757471,119.5229217
Thursday,Afternoon,insinyur sutami,biringkanaya,TK,R4,TR,-5.0682302,119.5245258
Sunday,Night,gunung latimojong,makassar,TK,R2,R4,-5.1405404,119.4208275
Friday,Afternoon,amanagapa,ujung pandang,TK,R4,R2,-5.1375303,119.4096708
Saturday,Afternoon,metro tanjung bunga,tamalate,TL,R4,R2,-5.1661576,119.3917443
Sunday,Afternoon,cendrawasih,mamajang,OC,R2,NOV,-5.167086,119.4118044
Monday,Morning,andi tonro,tamalate,TM,R2,NOV,-5.1725621,119.4203633
Wednesday,Evening,perintis kemerdekaan,tamalanrea,TK,R2,R4,-5.1268846,119.5022473
Tuesday,Night,paccerakkang,biringkanaya,TL,R2,R2,-5.1239434,119.5224673
Saturday,Night,tamangapa raya,manggala,TK,R2,R2,-5.1878951,119.4918248
Sunday,Evening,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Sunday,Afternoon,pettarani,rappocini,TL,R4,R2,-5.1521953,119.4374749
Monday,Morning,profesor abdurrahman basalamah,panakkukang,OC,R2,NOV,-5.1471505,119.4492661
Sunday,Evening,insinyur sutami,biringkanaya,TK,R4,R4,-5.0682302,119.5245258
Saturday,Evening,tamalanrea raya,tamalanrea,OC,R2,NOV,-5.1389844,119.5193272
Tuesday,Afternoon,lasuloro,manggala,TL,R4,NOV,-5.1700155,119.4881657
Monday,Evening,urip sumuharjo,panakkukang,TL,R2,R2,-5.1348243,119.4316818
Monday,Evening,tamangapa raya,manggala,TK,R2,R2,-5.1878951,119.4918248
Thursday,Night,pajukukang,tamalate,TL,R2,R2,-5.2019757,119.3874662
Wednesday,Morning,metro tanjung bunga,mariso,TL,R2,R2,-5.1523252,119.4054678
Monday,Evening,gagak,mariso,TL,R2,NOV,-5.1607981,119.4110046
Wednesday,Afternoon,pettarani,rappocini,TK,TR,R2,-5.1521953,119.4374749
Thursday,Afternoon,pettarani,rappocini,TL,R2,R2,-5.1521953,119.4374749
Wednesday,Morning,metro tanjung bunga,tamalate,TL,R2,R2,-5.1661576,119.3917443
Thursday,Evening,kakatua ii,mariso,TK,R2,R2,-5.1611828,119.412518
Tuesday,Afternoon,kapasa raya,tamalanrea,OC,R2,NOV,-5.1029771,119.4940907
Wednesday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Friday,Morning,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.0757471,119.5229217
Friday,Afternoon,urip sumuharjo,panakkukang,TL,R2,NOV,-5.1348243,119.4316818
Thursday,Afternoon,gotong royong,panakkukang,TL,R2,R2,-5.1461262,119.4373659
Thursday,Morning,abdullah daeng sirua,manggala,OC,R2,NOV,-5.1502262,119.4624701
Thursday,Night,andalas,bontoala,TK,R2,B2,-5.1225458,119.417918
Saturday,Morning,sultan alauddin,tamalate,OC,R2,NOV,-5.1682367,119.4209823
Friday,Morning,sultan alauddin,tamalate,TL,R2,R2,-5.1682367,119.4209823
Saturday,Afternoon,cendrawasih,mamajang,TK,R2,R2,-5.167086,119.4118044
Sunday,Morning,pettarani,rappocini,OC,R4,NOV,-5.1521953,119.4374749
Thursday,Morning,insinyur sutami,biringkanaya,TK,R4,R4,-5.0682302,119.5245258
Sunday,Morning,batara bira,biringkanaya,TK,B,B,-5.0884975,119.5063692
Sunday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Friday,Evening,perintis kemerdekaan,tamalanrea,TL,R2,R2,-5.1268846,119.5022473
Sunday,Morning,kerung-kerung,makassar,TL,R4,R4,-5.1402076,119.425703
Monday,Afternoon,pampang raya,panakkukang,TK,R2,NOV,-5.1337771,119.4442938
Saturday,Night,sultan alauddin,rappocini,OC,R2,NOV,-5.176566,119.4363938
Saturday,Evening,pettarani,panakkukang,TL,R2,R2,-5.1366409,119.4400406
Sunday,Morning,banta bantaeng,rappocini,TL,R4,R2,-5.1618312,119.427016
Tuesday,Afternoon,metro tanjung bunga,tamalate,OC,R4,NOV,-5.1661576,119.3917443
Monday,Morning,pannampu,tallo,TM,R2,NOV,-5.1184614,119.4264568
Tuesday,Afternoon,sultan hasanuddin,ujung pandang,TL,R4,R2,-5.1452672,119.4126554
Tuesday,Morning,sultan hasanuddin,ujung pandang,TM,R4,NOV,-5.1452672,119.4126554
Tuesday,Afternoon,toddopuli,panakkukang,TK,R2,R2,-5.1643772,119.4506917
